CustomerID,invoice_frequency,total_quantity,total_bill,day_gap,country,category
12347.0,182,2458,4310.0,1,Iceland,0
12348.0,31,2341,1797.24,74,Finland,0
12349.0,73,631,1757.55,18,Italy,0
12350.0,17,197,334.4,309,Norway,1
12352.0,95,470,1545.41,35,Norway,0
12353.0,4,20,89.0,203,Bahrain,2
12354.0,58,530,1079.4,231,Spain,1
12355.0,13,240,459.4,213,Bahrain,2
12356.0,59,1591,2811.43,22,Portugal,0
12357.0,131,2708,6207.67,32,Switzerland,0
12358.0,19,248,1168.06,1,Austria,0
12359.0,251,1599,6182.9800000000005,7,Cyprus,0
12360.0,129,1165,2662.06,51,Austria,0
12361.0,10,91,189.9,286,Belgium,1
12362.0,274,2212,5154.58,2,Belgium,0
12363.0,23,408,552.0,109,Unspecified,2
12364.0,85,1506,1313.1,7,Belgium,0
12365.0,23,173,320.69,290,Cyprus,1
12367.0,11,173,168.9,3,Denmark,0
12370.0,166,2352,3541.94,50,Cyprus,0
12371.0,63,591,1887.96,44,Switzerland,0
12372.0,52,794,1298.04,71,Denmark,0
12373.0,14,197,364.6,310,Austria,1
12374.0,33,342,742.9300000000001,24,Austria,0
12375.0,18,177,455.42,2,Finland,0
12377.0,77,944,1628.12,314,Switzerland,1
12378.0,219,2529,4008.62,129,Switzerland,2
12379.0,41,406,850.29,81,Belgium,0
12380.0,105,1126,2720.56,21,Belgium,0
12381.0,91,783,1803.96,4,Norway,0
12383.0,100,1529,1839.31,184,Belgium,2
12384.0,30,121,566.16,28,Switzerland,0
12386.0,10,354,401.9,337,Australia,1
12388.0,100,1462,2780.66,15,Australia,0
12390.0,32,353,549.84,79,Belgium,0
12391.0,93,293,439.66,21,Cyprus,0
12393.0,64,816,1582.6,71,Australia,0
12394.0,27,819,1272.48,63,Belgium,0
12395.0,159,2113,2998.28,15,Belgium,0
12397.0,126,1263,2409.9,35,Belgium,0
12398.0,85,1394,1635.66,45,Switzerland,0
12399.0,59,1178,1108.65,118,Belgium,2
12401.0,5,11,84.3,302,Belgium,1
12402.0,11,94,225.6,322,Belgium,1
12403.0,6,95,409.7,49,Denmark,0
12405.0,54,857,1710.39,148,Finland,2
12406.0,108,1809,3280.75,21,Denmark,0
12407.0,77,1416,1708.12,49,Belgium,0
12408.0,113,1399,2842.57,32,Belgium,0
12409.0,114,5543,11056.93,78,Switzerland,0
12410.0,28,209,681.0799999999999,300,Switzerland,1
12412.0,61,829,1226.88,74,Denmark,0
12413.0,40,282,694.15,66,France,0
12414.0,18,300,562.41,216,Austria,2
12415.0,778,77242,123725.45,23,Australia,0
12417.0,198,1539,3578.8,2,Belgium,0
12418.0,34,407,668.58,112,Switzerland,2
12420.0,29,345,600.39,63,Cyprus,0
12421.0,46,483,806.27,15,Spain,0
12422.0,39,370,803.5600000000001,95,Australia,2
12423.0,126,1327,1849.11,0,Belgium,0
12424.0,30,740,1760.96,162,Australia,2
12425.0,36,496,777.2,77,Portugal,0
12426.0,30,258,582.73,194,Germany,2
12427.0,35,236,708.37,11,Germany,0
12428.0,300,3503,7877.2,25,Finland,0
12429.0,97,1557,3750.4,8,Denmark,0
12430.0,11,117,256.4,42,Norway,0
12431.0,239,2858,6348.89,35,Australia,0
12432.0,108,1801,5059.32,42,Norway,0
12433.0,420,11071,13375.87,0,Norway,0
12434.0,54,373,765.19,84,Australia,0
12435.0,36,2055,7829.89,79,Denmark,0
12436.0,16,211,509.01,99,Norway,2
12437.0,201,2918,4896.66,1,France,0
12438.0,98,1180,2906.85,13,Norway,0
12441.0,11,121,173.55,366,France,1
12442.0,12,182,172.06,2,Spain,0
12444.0,177,1155,5005.46,20,Norway,0
12445.0,4,62,133.4,21,Spain,0
12446.0,58,352,1002.31,57,RSA,0
12447.0,26,190,476.49,242,Belgium,1
12448.0,22,243,449.45,43,Spain,0
12449.0,191,1553,4067.29,21,Belgium,0
12450.0,8,128,197.88,155,Spain,2
12451.0,355,6455,8933.52,10,Switzerland,0
12452.0,23,183,428.57,16,Switzerland,0
12453.0,43,473,707.09,133,Austria,2
12454.0,30,0,5.684341886080803e-14,52,Spain,0
12455.0,90,2089,2466.86,72,Cyprus,0
12456.0,129,1616,3153.89,43,Switzerland,0
12457.0,68,695,1917.78,57,Switzerland,0
12458.0,38,506,947.4,70,Switzerland,0
12461.0,35,287,826.88,93,Switzerland,2
12462.0,72,514,1124.01,1,Spain,0
12463.0,88,757,1303.63,45,Belgium,0
12464.0,29,112,1212.05,9,Belgium,0
12465.0,51,475,733.89,7,Belgium,0
12468.0,40,364,724.0400000000001,142,Germany,2
12471.0,530,7953,18705.52,1,Germany,0
12472.0,391,4020,6229.48,30,Germany,0
12473.0,178,2338,2837.73,28,Germany,0
12474.0,455,4750,7064.77,16,Germany,0
12475.0,36,535,723.38,53,Germany,0
12476.0,264,2337,6546.58,0,Germany,0
12477.0,308,3620,13117.01,22,Germany,0
12478.0,36,236,680.99,3,Greece,0
12479.0,35,351,477.3,3,Germany,0
12480.0,154,1707,3281.63,27,Germany,0
12481.0,217,3280,5574.36,22,Germany,0
12483.0,81,1097,2327.13,16,Sweden,0
12484.0,347,2181,4480.87,32,Spain,0
12488.0,55,529,1298.66,9,France,0
12489.0,15,105,334.93,335,France,1
12490.0,245,3064,5417.93,4,France,0
12491.0,26,260,460.4,38,France,0
12492.0,20,192,263.21000000000004,62,Germany,0
12493.0,23,206,416.79,165,France,2
12494.0,84,690,1139.35,9,France,0
12497.0,14,1236,1043.1,81,Germany,0
12498.0,23,159,403.7000000000001,20,Germany,0
12500.0,65,2671,4206.27,22,Germany,0
12501.0,160,1722,2089.68,314,Germany,1
12502.0,147,820,3723.87,95,Spain,2
12504.0,15,51,114.0,17,Germany,0
12506.0,23,23,73.5,232,France,1
12507.0,23,894,1258.06,133,Spain,2
12508.0,68,271,397.88,25,France,0
12509.0,7,55,176.5,283,France,1
12510.0,33,353,982.57,142,Spain,2
12512.0,31,96,132.18,65,Israel,0
12513.0,36,456,586.79,84,France,0
12514.0,51,440,1017.68,266,Italy,1
12515.0,16,131,383.7,352,Italy,1
12516.0,26,875,1312.06,77,Germany,0
12517.0,281,1338,2443.65,27,Germany,0
12518.0,124,1318,2056.89,0,Germany,0
